2025-January-06 11:09:55, Starting the ETL process
2025-January-06 11:09:56, No table found with class wikitable sortable sticky-header-multi static-row-numbers jquery-tablesorter
2025-January-06 11:10:14, Starting the ETL process
2025-January-06 11:10:14, No table found with class wikitable sortable
2025-January-06 11:10:19, Starting the ETL process
2025-January-06 11:15:03, Starting the ETL process
2025-January-06 11:15:43, Starting the ETL process
2025-January-06 11:16:07, Starting the ETL process
2025-January-06 11:16:27, Starting the ETL process
2025-January-06 11:17:11, Starting the ETL process
2025-January-06 11:17:41, Starting the ETL process
2025-January-06 11:18:01, Starting the ETL process
2025-January-06 11:18:27, Starting the ETL process
2025-January-06 11:18:39, Starting the ETL process
2025-January-06 11:20:31, Starting the ETL process
2025-January-06 11:21:01, Starting the ETL process
2025-January-06 11:21:12, Starting the ETL process
2025-January-06 11:21:33, Starting the ETL process
2025-January-06 11:21:47, Starting the ETL process
2025-January-06 11:22:22, Starting the ETL process
2025-January-06 11:25:13, Starting the ETL process
2025-January-06 11:26:02, Starting the ETL process
2025-January-06 11:27:39, Starting the ETL process
2025-Jan-06 11:29:22, Starting the ETL process
2025-Jan-06-11-33-36, INFO: Starting the ETL process
2025-Jan-06-11-33-36, INFO: ETL process completed successfully
2025-Jan-06-11-34-59, INFO: Starting the ETL process
2025-Jan-06-11-34-59, INFO: ETL process completed successfully
2025-Jan-06-11-35-16, INFO: Starting the ETL process
2025-Jan-06-11-35-17, INFO: ETL process completed successfully
2025-Jan-06-11-40-07, INFO: Starting the ETL process
2025-Jan-06-11-40-07, INFO: ETL process completed successfully
2025-Jan-06-11-40-18, INFO: Starting the ETL process
2025-Jan-06-11-41-47, INFO: Starting the ETL process
2025-Jan-06-11-41-47, INFO: ETL process completed successfully
2025-Jan-06-11-42-24, INFO: Starting the ETL process
2025-Jan-06-11-42-24, INFO: ETL process completed successfully
2025-Jan-06-11-42-31, INFO: Starting the ETL process
2025-Jan-06-11-42-31, INFO: ETL process completed successfully
2025-Jan-06-11-44-42, INFO: Starting the ETL process
2025-Jan-06-11-44-42, INFO: ETL process completed successfully
2025-Jan-06-11-44-54, INFO: Starting the ETL process
2025-Jan-06-11-44-54, INFO: ETL process completed successfully
2025-Jan-06-11-45-25, INFO: Starting the ETL process
2025-Jan-06-11-47-03, INFO: Starting the ETL process
2025-Jan-06-11-47-03, ERROR: No data found
2025-Jan-06-11-47-21, INFO: Starting the ETL process
2025-Jan-06-11-47-21, ERROR: No data found
2025-Jan-06-11-47-34, INFO: Starting the ETL process
2025-Jan-06-11-47-34, INFO: ETL process completed successfully
2025-Jan-06-11-48-28, INFO: Starting the ETL process
2025-Jan-06-11-48-28, INFO: Transformed data:           Country       GDP
0   United States  30337.16
1           China  19534.89
2         Germany   4921.56
3           Japan   4389.33
4           India   4271.92
5  United Kingdom   3730.26
6          France   3283.43
7           Italy   2459.60
8          Canada   2330.31
9          Brazil   2307.16
2025-Jan-06-11-48-28, INFO: ETL process completed successfully
2025-Jan-06-11-50-42, INFO: Starting the ETL process
2025-Jan-06-11-50-42, INFO: ETL process completed successfully
2025-Jan-06-11-59-45, INFO: Starting the ETL process
2025-Jan-06-11-59-46, INFO: ETL process completed successfully
2025-Jan-06-12-01-36, INFO: Starting the ETL process
2025-Jan-06-12-01-37, INFO: ETL process completed successfully
2025-Jan-06-12-02-35, INFO: Starting the ETL process
2025-Jan-06-12-02-52, INFO: Starting the ETL process
2025-Jan-06-12-02-52, INFO: ETL process completed successfully
2025-Jan-06-12-03-54, INFO: Starting the ETL process
2025-Jan-06-12-03-54, INFO: ETL process completed successfully
2025-Jan-06-12-04-08, INFO: Starting the ETL process
2025-Jan-06-12-04-09, INFO: ETL process completed successfully
2025-Jan-06-12-10-43, INFO: Starting the ETL process
2025-Jan-06-12-10-44, ERROR: Error parsing HTML: list index out of range
2025-Jan-06-12-10-44, ERROR: No data found
2025-Jan-06-12-10-54, INFO: Starting the ETL process
2025-Jan-06-12-10-54, ERROR: Error parsing HTML: list index out of range
2025-Jan-06-12-10-54, ERROR: No data found
2025-Jan-06-12-12-00, INFO: Starting the ETL process
2025-Jan-06-12-12-01, ERROR: Error parsing HTML: list index out of range
2025-Jan-06-12-12-01, ERROR: No data found
2025-Jan-06-12-12-17, INFO: Starting the ETL process
2025-Jan-06-12-12-18, ERROR: Error parsing HTML: list index out of range
2025-Jan-06-12-12-18, ERROR: No data found
2025-Jan-06-14-01-58, INFO: Starting the ETL process
2025-Jan-06-14-01-58, INFO: ETL process completed successfully
2025-Jan-06-14-04-55, INFO: Starting the ETL process
2025-Jan-06-14-04-56, INFO: ETL process completed successfully
2025-Jan-06-14-11-27, INFO: Starting the ETL process
2025-Jan-06-14-11-27, INFO: ETL process completed successfully
2025-Jan-06-14-15-20, INFO: Starting the ETL process
2025-Jan-06-14-15-21, INFO: ETL process completed successfully
2025-Jan-06-14-15-42, INFO: Starting the ETL process
2025-Jan-06-14-15-42, INFO: ETL process completed successfully
2025-Jan-06-14-16-28, INFO: Starting the ETL process
2025-Jan-06-14-16-29, INFO: ETL process completed successfully
2025-Jan-06-14-17-48, INFO: Starting the ETL process
2025-Jan-06-14-17-49, INFO: ETL process completed successfully
2025-Jan-06-14-19-23, INFO: Starting the ETL process
2025-Jan-06-14-19-24, INFO: ETL process completed successfully
2025-Jan-06-14-29-17, INFO: Starting the ETL process
2025-Jan-06-14-29-17, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-14-29-17, INFO: Parsing HTML to table...
2025-Jan-06-14-29-17, INFO: Transforming data to dataframe...
2025-Jan-06-14-29-17, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-14-29-17, INFO: ETL process completed successfully
2025-Jan-06-14-29-47, INFO: Starting the ETL process
2025-Jan-06-14-29-47, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-14-29-47, INFO: Parsing HTML to table...
2025-Jan-06-14-29-47, INFO: Transforming data to dataframe...
2025-Jan-06-14-29-47, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-14-29-47, INFO: ETL process completed successfully
2025-Jan-06-14-38-19, INFO: Starting the ETL process
2025-Jan-06-14-38-19, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-14-38-19, INFO: Parsing HTML to table...
2025-Jan-06-14-38-19, INFO: Transforming data to dataframe...
2025-Jan-06-14-38-19, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-14-38-19, INFO: ETL process completed successfully
2025-Jan-06-14-39-11, INFO: --------------------------------------------------
2025-Jan-06-14-39-11, INFO: Starting the ETL process
2025-Jan-06-14-39-11, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-14-39-11, INFO: Parsing HTML to table...
2025-Jan-06-14-39-11, INFO: Transforming data to dataframe...
2025-Jan-06-14-39-11, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-14-39-11, INFO: ETL process completed successfully
2025-Jan-06-14-53-15, INFO: --------------------------------------------------
2025-Jan-06-14-53-15, INFO: Starting the ETL process
2025-Jan-06-14-53-15, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-14-53-15, INFO: Parsing HTML to table...
2025-Jan-06-14-53-15, INFO: Transforming data to dataframe...
2025-Jan-06-14-53-15, INFO: Saving data to Database...
2025-Jan-06-14-53-15, INFO: ETL process completed successfully
2025-Jan-06-14-54-54, INFO: --------------------------------------------------
2025-Jan-06-14-54-54, INFO: Starting the ETL process
2025-Jan-06-14-54-54, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-14-54-55, INFO: Parsing HTML to table...
2025-Jan-06-14-54-55, INFO: Transforming data to dataframe...
2025-Jan-06-14-54-55, INFO: Saving data to Database...
2025-Jan-06-14-54-55, INFO: ETL process completed successfully
2025-Jan-06-14-58-03, INFO: --------------------------------------------------
2025-Jan-06-14-58-03, INFO: Starting the ETL process
2025-Jan-06-14-58-03, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-14-58-03, INFO: Parsing HTML to table...
2025-Jan-06-14-58-03, INFO: Transforming data to dataframe...
2025-Jan-06-14-58-03, INFO: Saving data to Database...
2025-Jan-06-14-58-03, INFO: ETL process completed successfully
2025-Jan-06-14-58-45, INFO: --------------------------------------------------
2025-Jan-06-14-58-45, INFO: Starting the ETL process
2025-Jan-06-14-58-45, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-14-58-46, INFO: Parsing HTML to table...
2025-Jan-06-14-58-46, INFO: Transforming data to dataframe...
2025-Jan-06-14-58-46, INFO: Saving data to Database...
2025-Jan-06-14-58-46, INFO: ETL process completed successfully
2025-Jan-06-14-59-58, INFO: --------------------------------------------------
2025-Jan-06-14-59-58, INFO: Starting the ETL process
2025-Jan-06-14-59-58, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-14-59-58, INFO: Parsing HTML to table...
2025-Jan-06-14-59-58, INFO: Transforming data to dataframe...
2025-Jan-06-14-59-58, INFO: Saving data to Database...
2025-Jan-06-14-59-58, INFO: ETL process completed successfully
2025-Jan-06-15-00-17, INFO: --------------------------------------------------
2025-Jan-06-15-00-17, INFO: Starting the ETL process
2025-Jan-06-15-00-17, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-00-18, INFO: Parsing HTML to table...
2025-Jan-06-15-00-18, INFO: Transforming data to dataframe...
2025-Jan-06-15-00-18, INFO: Saving data to Database...
2025-Jan-06-15-00-18, INFO: ETL process completed successfully
2025-Jan-06-15-00-55, INFO: --------------------------------------------------
2025-Jan-06-15-00-55, INFO: Starting the ETL process
2025-Jan-06-15-00-55, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-00-55, INFO: Parsing HTML to table...
2025-Jan-06-15-00-55, INFO: Transforming data to dataframe...
2025-Jan-06-15-00-55, INFO: Saving data to Database...
2025-Jan-06-15-00-55, INFO: ETL process completed successfully
2025-Jan-06-15-03-28, INFO: --------------------------------------------------
2025-Jan-06-15-03-28, INFO: Starting the ETL process
2025-Jan-06-15-03-28, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-03-28, INFO: Parsing HTML to table...
2025-Jan-06-15-03-28, INFO: Transforming data to dataframe...
2025-Jan-06-15-03-28, INFO: Saving data to Database...
2025-Jan-06-15-03-28, INFO: ETL process completed successfully
2025-Jan-06-15-14-39, INFO: --------------------------------------------------
2025-Jan-06-15-14-39, INFO: Starting the ETL process
2025-Jan-06-15-14-39, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-14-40, INFO: Parsing HTML to table...
2025-Jan-06-15-14-40, INFO: Transforming data to dataframe...
2025-Jan-06-15-14-40, INFO: Saving data to Database...
2025-Jan-06-15-14-40, INFO: ETL process completed successfully
2025-Jan-06-15-15-11, INFO: --------------------------------------------------
2025-Jan-06-15-15-11, INFO: Starting the ETL process
2025-Jan-06-15-15-11, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-15-11, INFO: Parsing HTML to table...
2025-Jan-06-15-15-11, INFO: Transforming data to dataframe...
2025-Jan-06-15-15-11, INFO: Saving data to Countries_by_GDP.json...
